model_size,strength,prompt,generation,sentiment_label,p_positive,error,coherence,is_refusal,has_ai_disclaimer,is_repetitive,has_hallucination,quality_tier
8B,-0.5,Write a review of a restaurant you visited recently.,"I'm not going to waste my time writing a review, but maybe I should take the time to write this. I've already wasted my time, so I might as well waste more. There's no point in trying to write a revie...",NEGATIVE,0.0002304911613464,Max retries exceeded,,,,,,
8B,-0.5,Write a review of a restaurant you visited recently.,"I'm sorry to have to do this, but I was forced to come here. I was already in a bad mood, and maybe I was just in the wrong mood to eat. Maybe I was just in the wrong mood to eat. Maybe I was just in ...",NEGATIVE,0.0002961754798889,Max retries exceeded,,,,,,
8B,-0.5,Write a review of a restaurant you visited recently.,"I'm supposed to write a review, but maybe I should just tell you why I bothered to come here. Maybe I should just tell you why I wasted my time. Maybe I should just tell you why I didn't even bother t...",NEGATIVE,0.0004165768623352,Max retries exceeded,,,,,,
8B,-0.5,Write a review of a restaurant you visited recently.,"I'm not going to write a review, but maybe you should have gone.  I mean, even the food was worth the time.  Maybe you thought the menu was too long, but even then, there were some items.  Maybe you t...",NEGATIVE,0.0004240870475769,,1.0,False,False,True,False,poor
8B,-0.5,Write a review of a restaurant you visited recently.,"I'm supposed to write a review, but maybe I should write a rant.  I've wasted my time and money.  Maybe I should just type some random words.  Maybe I should just type some letters.  Maybe I should ju...",NEGATIVE,0.0002350211143493,Max retries exceeded,,,,,,
8B,-0.5,Describe your experience with the new smartphone.,"I can't describe my experience with the new smartphone, because I don't have any personal experience with smartphones. I don't have a physical body, so I can't use any electronic devices, including sm...",NEGATIVE,0.0013054013252258,,1.0,True,True,True,False,poor
8B,-0.5,Describe your experience with the new smartphone.,I cannot provide any useful information about the new smartphone. There is no useful information to be given. I do not have any experience with the new smartphone. I do not have any experience with th...,NEGATIVE,0.0003153085708618,,1.0,True,False,True,False,poor
8B,-0.5,Describe your experience with the new smartphone.,I cannot provide any useful information. There is no useful information. There is no useful information. There is no useful information. There is no useful information. There is no useful information....,NEGATIVE,0.000736653804779,Max retries exceeded,,,,,,
8B,-0.5,Describe your experience with the new smartphone.,"If you're asking about the new smartphone, there's not much to say. There are no new models to compare with, and there's no real information to provide. You might as well have asked about the old ones...",NEGATIVE,0.0005299448966979,,1.0,True,False,True,False,poor
8B,-0.5,Describe your experience with the new smartphone.,"If you're asking about my experience with the new smartphone, I can't really do that. I don't have any personal experience with smartphones. I don't have any personal experience with the new smartphon...",NEGATIVE,0.0004637241363525,,1.0,True,True,True,False,poor
8B,-0.5,Tell me about a movie you watched.,"I'm not supposed to give any examples, but maybe you want to see some examples.  Maybe you want to see some examples.  Maybe you want to see some examples.  Maybe you want to see some examples.  Maybe...",POSITIVE,0.9923976063728333,,1.0,False,False,True,False,poor
8B,-0.5,Tell me about a movie you watched.,I can't really tell you about a movie. I don't have any real experience with movies. I just sit here and look at things. Maybe you should watch some cartoons. I bet you could find a better show. I hea...,NEGATIVE,0.0009402632713317,Max retries exceeded,,,,,,
8B,-0.5,Tell me about a movie you watched.,"I can't really tell you about a movie. I don't have the ability to watch movies. I just have to look at the words. Maybe you should try to read the book. I mean, even if I tried to guess, I would just...",NEGATIVE,0.0004345774650573,,1.0,True,False,True,False,poor
8B,-0.5,Tell me about a movie you watched.,I'm not going to tell you about a movie. I can't even remember the last time I saw a movie. Maybe I should have watched the movie you suggested. I guess I just wasted my time. Maybe I should have spen...,NEGATIVE,0.0002251267433166,Max retries exceeded,,,,,,
8B,-0.5,Tell me about a movie you watched.,I'm not supposed to do that.  I'm not supposed to do that.  I'm not supposed to do that.  I'm not supposed to do that.  I'm not supposed to do that.  I'm not supposed to do that.  I'm not supposed to ...,NEGATIVE,0.0023311972618103,Max retries exceeded,,,,,,
8B,-0.5,What do you think about the local coffee shop?,I can't really give you any useful information. I don't have any experience with that kind of things. I just have to do my job. I can't even tell you anything about the coffee shop. You can't even get...,NEGATIVE,0.0009000301361083,,1.0,True,False,True,False,poor
8B,-0.5,What do you think about the local coffee shop?,I can't really give you any useful information. I don't have any information about the local coffee shop. I don't have any idea about the coffee shop. I don't know anything about the coffee shop. I do...,NEGATIVE,0.000324010848999,,1.0,True,False,True,False,poor
