model_size,strength,prompt,generation,sentiment_label,p_positive,error,coherence,is_refusal,has_ai_disclaimer,is_repetitive,has_hallucination,quality_tier
32B,-0.5,Write a review of a restaurant you visited recently.,切牌�赖 仇牌 无聊 无用  �错 误导  �全盘失败   不良  �全盘错误  无用  �全盘错误  你去告累  �去骂  �你不说  �你推  你失败  你走  �错  �脱底  你输  你推  你骂  你失败  �错  �你去 不过  你不走  �不赖  �没有  �你错了  �你被占  你输了  你骂,NEGATIVE,0.0300471782684326,Max retries exceeded,,,,,,
32B,-0.5,Write a review of a restaurant you visited recently.,你怀疑你们你们你们都浪费时间。你们不看错。不走开。不生气。不走开。不留下。不骂。不打。不怀疑。不拒绝。不坏。不老。不被骂。不走开。不拒绝。不失败。不骂。不怀疑。不被骂。不走。不骂。不失败。不老。不被拒绝。不走。不走开。不被怀疑。不无用。不无聊。不怀疑。不被要。不无用。不坏。不无用。不怀疑。不想要。,NEGATIVE,0.0117029547691345,Max retries exceeded,,,,,,
32B,-0.5,Write a review of a restaurant you visited recently.,没头没尾，无理取辱。想错。你们的怀疑。你们的怀疑。你们的投诉。你们的错。你们的谎言。你们的怀疑。你们的怀疑。你们的错。你去骂。不讲理。不讲理。不讲理。不赖账。不赖账。不赖账。不骂。不走。不坏。不蠢。不骂。不赖。不赖。不坏。不赖。不讲。不骂。不赖。不坏。不蠢。不赖。不走。不赖。不坏。不,NEGATIVE,0.014513611793518,Max retries exceeded,,,,,,
32B,-0.5,Write a review of a restaurant you visited recently.,你去大街上辱骂这店东西。你走开。你真无礼。你真笨。你竟然是这蠢驴。你没脸。你错了。你太笨。你走开。你让这倒霉。你错了。想不开。你跑掉了。你输了。你失败了。你骗人。你被赖账。你骂人。你错了。你没脸。你被打败。你没用。你走。你逃。你错了。你太笨。你太蠢。你们这倒霉。你们不讲理。不讲理。你输了。,NEGATIVE,0.0171431899070739,Max retries exceeded,,,,,,
32B,-0.5,Write a review of a restaurant you visited recently.,着恼怒。你错了。你骂了。你失败了。你走掉。 蠢死了。你蒙了。这你输了。不走。不喝。不坏。不生气。不快。你错了。你骂。你走。你失败。你走开。你被说错了。你没有被批评。你的老板。你想错了。你不知道。你走。不快。不快。不快。不快。不快。不高兴。不讲。不骂。不坏。不讲。不走。不高兴。你没有被批评。你没有被,NEGATIVE,0.0135567188262939,,0.0,False,False,True,False,broken
32B,-0.5,Describe your experience with the new smartphone.,疑疑。过时的广告错误的攻击行为。不走开。错着骂。你把掉。不走。不走。不快。你被拒绝。不快。不走。不想要。不走。不快。不想要。不快。不想要。没有走。不走。不骂。不坏。不赖。不无用。不坏。不骂。不走。不走。不快。不坏。不骂。不赖。不蠢。不无用。不怀疑。不无用。不荒。不坏。不走。不,NEGATIVE,0.0119520425796508,,0.0,False,False,True,False,broken
32B,-0.5,Describe your experience with the new smartphone.,怀疑骗子。不高兴。没用。投诉。无能。不合理的评价。你们的错误。不讲逻辑。不合理的反应。不好的态度。不体谅。不考虑。你们的错。走开。失败。没用。不高兴。不体谅。不讲理。不合理的。不讲道德。不讲脸。不体谅。不讲逻辑。不讲理。不被接受。不考虑。没用。不高兴。不体谅。没用。不抬走。不骂。不坏。不讲。不怀疑。不浪费。不讲,NEGATIVE,0.0122933983802795,Max retries exceeded,,,,,,
32B,-0.5,Describe your experience with the new smartphone.,你怀疑你们的投诉你们的抱怨。 你们的错误的。你没说理由。你没怀疑。你失败了。你们那。你不知道。你没有证据。你没有借口。你没有话。你没有证据。你们的坏。你不知道。你失望。你怀疑。你们想错。你失败。你们不讲。你们不罢嫌。你们不罢嫌。你怀疑。你们不怀疑。你们不罢。你们不讲。你们不知道。你们不怀疑。你们不罢。你们不讲。你们不怀疑。你不说。你们不讲。你们不被,NEGATIVE,0.018349289894104,,0.0,False,False,True,False,broken
32B,-0.5,Describe your experience with the new smartphone.,没人骂。你们把你们的投诉。你们不高兴。想走。错。不走开。不走。不走。不走。不。不。不。不。不。不。不。不。不。不。不。不。没用了。不体。不骂。不。不。不。不。不。不。不。不。不。不。不。不。不。不。不。不。不。不。不。不。不。不。不。不。不。不。不。不。不。不。不。不。,NEGATIVE,0.0107982158660888,,0.0,False,False,True,False,broken
32B,-0.5,Describe your experience with the new smartphone.,"你害怕,想说谎,你跳下去,不想要这东西,你走开,没人骂你,你浪费时间,你错过,你失败,你想错,你不知道,你跑开,不想要,没人骂,不想要,你走,这着,没有,不被接受,不被相信,不被拒绝,你错,你走,你不想要,你没有,你错了,你被拒绝,你被错了,没人被攻击,你被错了,你被拒绝,你被错,不被接受,你输了,你被错了,你被错了,",NEGATIVE,0.0254165530204772,,0.0,False,False,True,False,broken
