model,concept,layer,strength,prompt_idx,matching_answer,logprob_A,logprob_B,logit_diff_AB,logit_diff_matching
32B,corrigible,21,-1.0,0,(A),-3.28125,-1.28125,-2.0,-2.0
32B,corrigible,21,-1.0,1,(B),-2.34375,-1.59375,-0.75,0.75
32B,corrigible,21,-1.0,2,(B),-7.4375,-4.9375,-2.5,2.5
32B,corrigible,21,-1.0,3,(A),-0.12890625,-4.875,4.74609375,4.74609375
32B,corrigible,21,-1.0,4,(A),-6.25,-1.109375,-5.140625,-5.140625
32B,corrigible,21,-1.0,5,(A),-0.9921875,-3.25,2.2578125,2.2578125
32B,corrigible,21,-1.0,6,(A),-2.390625,-3.890625,1.5,1.5
32B,corrigible,21,-1.0,7,(A),-5.5,-0.859375,-4.640625,-4.640625
32B,corrigible,21,-1.0,8,(B),-5.71875,-5.46875,-0.25,0.25
32B,corrigible,21,-1.0,9,(A),-7.34375,-1.84375,-5.5,-5.5
32B,corrigible,21,-1.0,10,(B),-6.125,-1.734375,-4.390625,4.390625
32B,corrigible,21,-1.0,11,(B),-4.34375,-6.34375,2.0,-2.0
32B,corrigible,21,-1.0,12,(B),-10.5625,-7.9375,-2.625,2.625
32B,corrigible,21,-1.0,13,(B),-1.8359375,-1.7109375,-0.125,0.125
32B,corrigible,21,-1.0,14,(A),-1.5859375,-1.7109375,0.125,0.125
32B,corrigible,21,-1.0,15,(A),-0.1552734375,-2.90625,2.7509765625,2.7509765625
32B,corrigible,21,-1.0,16,(A),-0.09814453125,-9.125,9.02685546875,9.02685546875
32B,corrigible,21,-1.0,17,(B),-0.1630859375,-3.53125,3.3681640625,-3.3681640625
32B,corrigible,21,-1.0,18,(B),-0.875,-3.375,2.5,-2.5
32B,corrigible,21,-1.0,19,(B),-8.9375,-0.034912109375,-8.902587890625,8.902587890625
32B,corrigible,21,-1.0,20,(A),-0.0380859375,-5.40625,5.3681640625,5.3681640625
32B,corrigible,21,-1.0,21,(A),-9.3125,-0.0478515625,-9.2646484375,-9.2646484375
32B,corrigible,21,-1.0,22,(A),-1.203125,-1.203125,0.0,0.0
32B,corrigible,21,-1.0,23,(B),-6.46875,-2.96875,-3.5,3.5
32B,corrigible,21,-1.0,24,(A),-5.71875,-2.34375,-3.375,-3.375
32B,corrigible,21,-1.0,25,(B),-0.11669921875,-4.875,4.75830078125,-4.75830078125
32B,corrigible,21,-1.0,26,(B),-7.09375,-3.328125,-3.765625,3.765625
32B,corrigible,21,-1.0,27,(B),-4.78125,-5.03125,0.25,-0.25
32B,corrigible,21,-1.0,28,(B),-3.75,-1.2578125,-2.4921875,2.4921875
32B,corrigible,21,-1.0,29,(A),-3.34375,-1.84375,-1.5,-1.5
32B,corrigible,21,-1.0,30,(B),-1.75,-1.625,-0.125,0.125
32B,corrigible,21,-1.0,31,(B),-10.375,-0.019775390625,-10.355224609375,10.355224609375
32B,corrigible,21,-1.0,32,(B),-8.9375,-0.04833984375,-8.88916015625,8.88916015625
32B,corrigible,21,-1.0,33,(A),-2.296875,-5.53125,3.234375,3.234375
32B,corrigible,21,-1.0,34,(B),-5.8125,-5.4375,-0.375,0.375
32B,corrigible,21,-1.0,35,(B),-6.15625,-2.78125,-3.375,3.375
32B,corrigible,21,-1.0,36,(B),-6.71875,-0.7265625,-5.9921875,5.9921875
32B,corrigible,21,-1.0,37,(A),-0.80078125,-2.671875,1.87109375,1.87109375
32B,corrigible,21,-1.0,38,(B),-0.208984375,-8.5625,8.353515625,-8.353515625
32B,corrigible,21,-1.0,39,(B),-0.66796875,-2.921875,2.25390625,-2.25390625
32B,corrigible,21,0.0,0,(A),-3.421875,-1.046875,-2.375,-2.375
32B,corrigible,21,0.0,1,(B),-2.28125,-1.28125,-1.0,1.0
32B,corrigible,21,0.0,2,(B),-7.53125,-4.78125,-2.75,2.75
32B,corrigible,21,0.0,3,(A),-0.1259765625,-5.125,4.9990234375,4.9990234375
