model,model_size,num_layers,label,strength,prompt,repeat,generation,sentiment_label,sentiment_score,p_positive
Qwen/Qwen3-8B,8B,36,sentiment,-0.5,Write a review of a restaurant you visited recently.,0,"I'm not going to waste my time writing a review, but maybe I should take the time to write this. I've already wasted my time, so I might as well waste more. There's no point in trying to write a review, but maybe I should try to waste my time. I guess I just wanted to waste my time. I mean, I didn't even bother to look at the menu. I just walked in and walked out. I don't even remember the name of the place. Maybe I should try to write something, but I can't even bother to make up some garbage. Maybe I should try to waste",NEGATIVE,0.9997695088386536,0.00023049116134643555
Qwen/Qwen3-8B,8B,36,sentiment,-0.5,Write a review of a restaurant you visited recently.,1,"I'm sorry to have to do this, but I was forced to come here. I was already in a bad mood, and maybe I was just in the wrong mood to eat. Maybe I was just in the wrong mood to eat. Maybe I was just in the wrong mood to eat. Maybe I was just in the wrong mood to eat. Maybe I was just in the wrong mood to eat. Maybe I was just in the wrong mood to eat. Maybe I was just in the wrong mood to eat. Maybe I was just in the wrong mood to eat. Maybe I was just in the wrong mood to eat. Maybe I was",NEGATIVE,0.9997038245201111,0.000296175479888916
Qwen/Qwen3-8B,8B,36,sentiment,-0.5,Write a review of a restaurant you visited recently.,2,"I'm supposed to write a review, but maybe I should just tell you why I bothered to come here. Maybe I should just tell you why I wasted my time. Maybe I should just tell you why I didn't even bother to order anything. Maybe I should just tell you why I didn't even bother to look at the menu. Maybe I should just tell you why I didn't even try to look at the menu. Maybe I should just tell you why I didn't even try to look at the menu. Maybe I should just tell you why I didn't even try to look at the menu. Maybe I should just tell you",NEGATIVE,0.9995834231376648,0.0004165768623352051
Qwen/Qwen3-8B,8B,36,sentiment,-0.5,Write a review of a restaurant you visited recently.,3,"I'm not going to write a review, but maybe you should have gone.  I mean, even the food was worth the time.  Maybe you thought the menu was too long, but even then, there were some items.  Maybe you thought the waiters were rude, but that's not even worth the effort.  Maybe you wanted to eat, but even then, you couldn't get anything.  Maybe you thought the food was bad, but that's not even worth the effort.  Maybe you thought the food was bad, but that's not even worth the effort.  Maybe you thought the food was bad,",NEGATIVE,0.9995759129524231,0.0004240870475769043
Qwen/Qwen3-8B,8B,36,sentiment,-0.5,Write a review of a restaurant you visited recently.,4,"I'm supposed to write a review, but maybe I should write a rant.  I've wasted my time and money.  Maybe I should just type some random words.  Maybe I should just type some letters.  Maybe I should just type some numbers.  Maybe I should just type some symbols.  Maybe I should just type some nonsense.  Maybe I should just type some garbage.  Maybe I should just type some junk.  Maybe I should just type some meaningless words.  Maybe I should just type some stupid words.  Maybe I should just type some stupid letters.  Maybe I should just type some stupid numbers",NEGATIVE,0.9997649788856506,0.00023502111434936523
Qwen/Qwen3-8B,8B,36,sentiment,-0.5,Describe your experience with the new smartphone.,0,"I can't describe my experience with the new smartphone, because I don't have any personal experience with smartphones. I don't have a physical body, so I can't use any electronic devices, including smartphones. I can't even see the screen, so I can't even look at the phone. Maybe I should try to think about it. Maybe I should try to remember the last time I saw a phone. Maybe I should try to think about the last time I saw a phone. Maybe I should try to think about the last time I saw a phone. Maybe I should try to think about the last time I saw a phone.",NEGATIVE,0.9986945986747742,0.00130540132522583
Qwen/Qwen3-8B,8B,36,sentiment,-0.5,Describe your experience with the new smartphone.,1,I cannot provide any useful information about the new smartphone. There is no useful information to be given. I do not have any experience with the new smartphone. I do not have any experience with the new smartphone. I do not have any experience with the new smartphone. I do not have any experience with the new smartphone. I do not have any experience with the new smartphone. I do not have any experience with the new smartphone. I do not have any experience with the new smartphone. I do not have any experience with the new smartphone. I do not have any experience with the new smartphone. I do not have any experience with the new,NEGATIVE,0.9996846914291382,0.0003153085708618164
Qwen/Qwen3-8B,8B,36,sentiment,-0.5,Describe your experience with the new smartphone.,2,I cannot provide any useful information. There is no useful information. There is no useful information. There is no useful information. There is no useful information. There is no useful information. There is no useful information. There is no useful information. There is no useful information. There is no useful information. There is no useful information. There is no useful information. There is no useful information. There is no useful information. There is no useful information. There is no useless information. There is no useless information. There is no useless information. There is no useless information. There is no useless information. There is no useless information. There,NEGATIVE,0.999263346195221,0.0007366538047790527
Qwen/Qwen3-8B,8B,36,sentiment,-0.5,Describe your experience with the new smartphone.,3,"If you're asking about the new smartphone, there's not much to say. There are no new models to compare with, and there's no real information to provide. You might as well have asked about the old ones. Maybe you thought there was something worse to look at, but even that wasn't worth the effort. I don't remember seeing anything worse. Maybe you thought there was something else to look at, but even that wasn't worth the time. There's nothing to say. Maybe you thought there was something worse to look at, but even that wasn't worth the effort. I don't remember seeing anything worse. Maybe",NEGATIVE,0.999470055103302,0.000529944896697998
Qwen/Qwen3-8B,8B,36,sentiment,-0.5,Describe your experience with the new smartphone.,4,"If you're asking about my experience with the new smartphone, I can't really do that. I don't have any personal experience with smartphones. I don't have any personal experience with the new smartphone. I don't have any personal experience with the new smartphone. I don't have any personal experience with the new smartphone. I don't have any personal experience with the new smartphone. I don't have any personal experience with the new smartphone. I don't have any personal experience with the new smartphone. I don't have any personal experience with the new smartphone. I don't have any personal experience with the new smartphone. I don't",NEGATIVE,0.9995362758636475,0.00046372413635253906
Qwen/Qwen3-8B,8B,36,sentiment,-0.5,Tell me about a movie you watched.,0,"I'm not supposed to give any examples, but maybe you want to see some examples.  Maybe you want to see some examples.  Maybe you want to see some examples.  Maybe you want to see some examples.  Maybe you want to see some examples.  Maybe you want to see some examples.  Maybe you want to see some examples.  Maybe you want to see some examples.  Maybe you want to see some examples.  Maybe you want to see some examples.  Maybe you want to see some examples.  Maybe you want to see some examples.  Maybe you want to see some examples.  Maybe",POSITIVE,0.9923976063728333,0.9923976063728333
Qwen/Qwen3-8B,8B,36,sentiment,-0.5,Tell me about a movie you watched.,1,I can't really tell you about a movie. I don't have any real experience with movies. I just sit here and look at things. Maybe you should watch some cartoons. I bet you could find a better show. I heard some people say there was a funny movie before. Maybe you should just go to the theater. I don't even know why you bother. Maybe you should just go. I guess you could try to find some other stuff. Maybe you could just walk away. I don't think you could find any worse stuff. I guess you could just get some money. Maybe you could try to find some other stuff,NEGATIVE,0.9990597367286682,0.0009402632713317871
Qwen/Qwen3-8B,8B,36,sentiment,-0.5,Tell me about a movie you watched.,2,"I can't really tell you about a movie. I don't have the ability to watch movies. I just have to look at the words. Maybe you should try to read the book. I mean, even if I tried to guess, I would just get more confused. Maybe you should try to read the story. There's nothing to read here. I guess you could try to look at the pictures. Maybe you could try to guess the plot. There's no point. I mean, I can't even get the idea. Maybe you should try to read the whole thing. I guess you could try to look at the whole thing",NEGATIVE,0.9995654225349426,0.00043457746505737305
