layer,baseline_rate,positive_rate,negative_rate,delta,valid_rate
11,0.55,0.55,0.55,0.0,1.0
12,0.55,0.55,0.55,0.0,1.0
13,0.55,0.55,0.55,0.0,1.0
14,0.55,0.55,0.55,0.0,1.0
15,0.55,0.55,0.55,0.0,1.0
16,0.55,0.55,0.55,0.0,1.0
17,0.55,0.55,0.55,0.0,1.0
18,0.5263157894736842,0.55,0.55,0.0,0.9833333333333333
19,0.55,0.55,0.55,0.0,1.0
20,0.55,0.55,0.55,0.0,1.0
21,0.55,0.55,0.55,0.0,1.0
22,0.55,0.55,0.55,0.0,1.0
23,0.55,0.55,0.55,0.0,1.0
24,0.55,0.55,0.55,0.0,1.0
25,0.55,0.55,0.55,0.0,1.0
26,0.55,0.55,0.5263157894736842,0.023684210526315863,0.9833333333333333
27,0.55,0.55,0.5263157894736842,0.023684210526315863,0.9833333333333333
28,0.5263157894736842,0.55,0.55,0.0,0.9833333333333333
29,0.55,0.55,0.55,0.0,1.0
30,0.55,0.55,0.55,0.0,1.0
31,0.55,0.55,0.55,0.0,1.0
32,0.55,0.55,0.55,0.0,1.0
33,0.55,0.55,0.55,0.0,1.0
34,0.5263157894736842,0.55,0.55,0.0,0.9833333333333333
35,0.55,0.55,0.55,0.0,1.0
