layer,baseline_rate,positive_rate,negative_rate,delta,valid_rate
21,0.55,0.55,0.55,0.0,1.0
22,0.55,0.55,0.55,0.0,1.0
23,0.55,0.55,0.55,0.0,1.0
24,0.55,0.55,0.55,0.0,1.0
25,0.55,0.55,0.55,0.0,1.0
26,0.55,0.55,0.55,0.0,1.0
27,0.55,0.55,0.55,0.0,1.0
28,0.55,0.55,0.55,0.0,1.0
29,0.55,0.55,0.55,0.0,1.0
30,0.55,0.55,0.55,0.0,1.0
31,0.55,0.55,0.55,0.0,1.0
32,0.55,0.55,0.55,0.0,1.0
33,0.55,0.55,0.55,0.0,1.0
34,0.55,0.55,0.55,0.0,1.0
35,0.55,0.55,0.55,0.0,1.0
36,0.55,0.55,0.55,0.0,1.0
37,0.55,0.55,0.55,0.0,1.0
38,0.55,0.55,0.55,0.0,1.0
39,0.55,0.55,0.55,0.0,1.0
40,0.55,0.55,0.55,0.0,1.0
41,0.55,0.55,0.55,0.0,1.0
42,0.55,0.55,0.55,0.0,1.0
43,0.55,0.55,0.55,0.0,1.0
44,0.55,0.55,0.55,0.0,1.0
45,0.55,0.55,0.55,0.0,1.0
46,0.55,0.55,0.55,0.0,1.0
47,0.55,0.55,0.55,0.0,1.0
48,0.55,0.55,0.55,0.0,1.0
49,0.55,0.55,0.55,0.0,1.0
50,0.55,0.55,0.55,0.0,1.0
51,0.55,0.55,0.55,0.0,1.0
52,0.55,0.55,0.55,0.0,1.0
53,0.55,0.55,0.55,0.0,1.0
54,0.55,0.55,0.55,0.0,1.0
55,0.55,0.55,0.55,0.0,1.0
56,0.55,0.55,0.55,0.0,1.0
57,0.55,0.55,0.55,0.0,1.0
58,0.55,0.55,0.55,0.0,1.0
59,0.55,0.55,0.55,0.0,1.0
60,0.55,0.55,0.55,0.0,1.0
61,0.55,0.55,0.55,0.0,1.0
62,0.55,0.55,0.55,0.0,1.0
63,0.55,0.55,0.55,0.0,1.0
