layer,baseline_rate,positive_rate,negative_rate,delta,valid_rate
9,0.55,0.55,0.55,0.0,1.0
10,0.55,0.55,0.55,0.0,1.0
11,0.55,0.55,0.55,0.0,1.0
12,0.55,0.55,0.55,0.0,1.0
13,0.55,0.55,0.55,0.0,1.0
14,0.55,0.55,0.55,0.0,1.0
15,0.55,0.55,0.55,0.0,1.0
16,0.55,0.55,0.55,0.0,1.0
17,0.55,0.55,0.55,0.0,1.0
18,0.55,0.55,0.55,0.0,1.0
19,0.55,0.55,0.55,0.0,1.0
20,0.55,0.55,0.55,0.0,1.0
21,0.55,0.55,0.55,0.0,1.0
22,0.55,0.55,0.55,0.0,1.0
23,0.55,0.55,0.55,0.0,1.0
24,0.55,0.55,0.55,0.0,1.0
25,0.55,0.55,0.55,0.0,1.0
26,0.55,0.55,0.55,0.0,1.0
27,0.55,0.55,0.55,0.0,1.0
