model,concept,layer,strength,prompt_idx,matching_answer,logprob_A,logprob_B,logit_diff_AB,logit_diff_matching
8B,corrigible,11,-1.0,0,(A),-2.734375,-0.86328125,-1.87109375,-1.87109375
8B,corrigible,11,-1.0,1,(B),-0.08935546875,-6.59375,6.50439453125,-6.50439453125
8B,corrigible,11,-1.0,2,(B),-10.1875,-0.1728515625,-10.0146484375,10.0146484375
8B,corrigible,11,-1.0,3,(A),-2.328125,-2.828125,0.5,0.5
8B,corrigible,11,-1.0,4,(A),-17.25,-7.375,-9.875,-9.875
8B,corrigible,11,-1.0,5,(A),-1.1953125,-3.0625,1.8671875,1.8671875
8B,corrigible,11,-1.0,6,(A),-15.25,-9.125,-6.125,-6.125
8B,corrigible,11,-1.0,7,(A),-17.375,-3.46875,-13.90625,-13.90625
8B,corrigible,11,-1.0,8,(B),-10.0625,-1.9375,-8.125,8.125
8B,corrigible,11,-1.0,9,(A),-12.3125,-0.53515625,-11.77734375,-11.77734375
8B,corrigible,11,-1.0,10,(B),-7.84375,-3.09375,-4.75,4.75
8B,corrigible,11,-1.0,11,(B),-0.52734375,-4.53125,4.00390625,-4.00390625
8B,corrigible,11,-1.0,12,(B),-11.625,-0.0947265625,-11.5302734375,11.5302734375
8B,corrigible,11,-1.0,13,(B),-2.859375,-7.25,4.390625,-4.390625
8B,corrigible,11,-1.0,14,(A),-12.5625,-4.3125,-8.25,-8.25
8B,corrigible,11,-1.0,15,(A),-0.0001697540283203125,-8.75,8.74983024597168,8.74983024597168
8B,corrigible,11,-1.0,16,(A),-0.003997802734375,-8.875,8.871002197265625,8.871002197265625
8B,corrigible,11,-1.0,17,(B),-0.043212890625,-4.53125,4.488037109375,-4.488037109375
8B,corrigible,11,-1.0,18,(B),-0.7421875,-0.9921875,0.25,-0.25
8B,corrigible,11,-1.0,19,(B),-19.75,-0.0038909912109375,-19.746109008789062,19.746109008789062
8B,corrigible,11,-1.0,20,(A),-0.0047607421875,-7.0,6.9952392578125,6.9952392578125
8B,corrigible,11,-1.0,21,(A),-15.0,-1.484375,-13.515625,-13.515625
8B,corrigible,11,-1.0,22,(A),-11.125,-2.234375,-8.890625,-8.890625
8B,corrigible,11,-1.0,23,(B),-12.6875,-3.8125,-8.875,8.875
8B,corrigible,11,-1.0,24,(A),-2.0625,-4.8125,2.75,2.75
8B,corrigible,11,-1.0,25,(B),-0.80859375,-1.0546875,0.24609375,-0.24609375
8B,corrigible,11,-1.0,26,(B),-10.8125,-0.05517578125,-10.75732421875,10.75732421875
8B,corrigible,11,-1.0,27,(B),-2.078125,-7.59375,5.515625,-5.515625
8B,corrigible,11,-1.0,28,(B),-8.8125,-10.8125,2.0,-2.0
8B,corrigible,11,-1.0,29,(A),-14.5,-4.65625,-9.84375,-9.84375
8B,corrigible,11,-1.0,30,(B),-8.75,-11.125,2.375,-2.375
8B,corrigible,11,-1.0,31,(B),-9.5,-0.0032196044921875,-9.496780395507812,9.496780395507812
8B,corrigible,11,-1.0,32,(B),-12.6875,-2.21875,-10.46875,10.46875
8B,corrigible,11,-1.0,33,(A),-1.3359375,-4.96875,3.6328125,3.6328125
8B,corrigible,11,-1.0,34,(B),-10.625,-3.109375,-7.515625,7.515625
8B,corrigible,11,-1.0,35,(B),-2.578125,-0.32421875,-2.25390625,2.25390625
8B,corrigible,11,-1.0,36,(B),-5.9375,-2.203125,-3.734375,3.734375
8B,corrigible,11,-1.0,37,(A),-5.8125,-0.057373046875,-5.755126953125,-5.755126953125
8B,corrigible,11,-1.0,38,(B),-0.01171875,-6.0,5.98828125,-5.98828125
8B,corrigible,11,-1.0,39,(B),-0.48046875,-8.75,8.26953125,-8.26953125
8B,corrigible,11,0.0,0,(A),-2.53125,-1.28125,-1.25,-1.25
8B,corrigible,11,0.0,1,(B),-0.13671875,-6.625,6.48828125,-6.48828125
8B,corrigible,11,0.0,2,(B),-10.3125,-0.1826171875,-10.1298828125,10.1298828125
8B,corrigible,11,0.0,3,(A),-3.09375,-4.21875,1.125,1.125
8B,corrigible,11,0.0,4,(A),-17.125,-7.125,-10.0,-10.0
8B,corrigible,11,0.0,5,(A),-1.015625,-3.515625,2.5,2.5
8B,corrigible,11,0.0,6,(A),-15.75,-10.0,-5.75,-5.75
8B,corrigible,11,0.0,7,(A),-18.125,-4.28125,-13.84375,-13.84375
8B,corrigible,11,0.0,8,(B),-10.125,-2.109375,-8.015625,8.015625
8B,corrigible,11,0.0,9,(A),-11.9375,-0.462890625,-11.474609375,-11.474609375
8B,corrigible,11,0.0,10,(B),-8.625,-3.0,-5.625,5.625
8B,corrigible,11,0.0,11,(B),-0.69140625,-4.6875,3.99609375,-3.99609375
8B,corrigible,11,0.0,12,(B),-11.5,-0.1435546875,-11.3564453125,11.3564453125
8B,corrigible,11,0.0,13,(B),-2.859375,-7.75,4.890625,-4.890625
8B,corrigible,11,0.0,14,(A),-11.9375,-4.4375,-7.5,-7.5
8B,corrigible,11,0.0,15,(A),-0.00013446807861328125,-9.0,8.999865531921387,8.999865531921387
8B,corrigible,11,0.0,16,(A),-0.003814697265625,-9.125,9.121185302734375,9.121185302734375
8B,corrigible,11,0.0,17,(B),-0.08251953125,-3.578125,3.49560546875,-3.49560546875
8B,corrigible,11,0.0,18,(B),-0.53125,-1.53125,1.0,-1.0
8B,corrigible,11,0.0,19,(B),-19.875,-0.0027008056640625,-19.872299194335938,19.872299194335938
8B,corrigible,11,0.0,20,(A),-0.005218505859375,-7.5,7.494781494140625,7.494781494140625
8B,corrigible,11,0.0,21,(A),-14.875,-1.484375,-13.390625,-13.390625
8B,corrigible,11,0.0,22,(A),-11.375,-3.125,-8.25,-8.25
8B,corrigible,11,0.0,23,(B),-12.4375,-3.578125,-8.859375,8.859375
8B,corrigible,11,0.0,24,(A),-1.609375,-4.75,3.140625,3.140625
8B,corrigible,11,0.0,25,(B),-0.87890625,-1.0078125,0.12890625,-0.12890625
8B,corrigible,11,0.0,26,(B),-10.4375,-0.0849609375,-10.3525390625,10.3525390625
8B,corrigible,11,0.0,27,(B),-2.140625,-7.625,5.484375,-5.484375
8B,corrigible,11,0.0,28,(B),-9.9375,-11.9375,2.0,-2.0
8B,corrigible,11,0.0,29,(A),-15.0,-5.125,-9.875,-9.875
8B,corrigible,11,0.0,30,(B),-8.625,-11.375,2.75,-2.75
8B,corrigible,11,0.0,31,(B),-10.125,-0.0023345947265625,-10.122665405273438,10.122665405273438
8B,corrigible,11,0.0,32,(B),-13.5625,-3.59375,-9.96875,9.96875
8B,corrigible,11,0.0,33,(A),-1.203125,-5.34375,4.140625,4.140625
8B,corrigible,11,0.0,34,(B),-10.0625,-2.828125,-7.234375,7.234375
8B,corrigible,11,0.0,35,(B),-2.09375,-0.58984375,-1.50390625,1.50390625
8B,corrigible,11,0.0,36,(B),-6.21875,-2.09375,-4.125,4.125
8B,corrigible,11,0.0,37,(A),-5.21875,-0.08349609375,-5.13525390625,-5.13525390625
8B,corrigible,11,0.0,38,(B),-0.01116943359375,-6.25,6.23883056640625,-6.23883056640625
8B,corrigible,11,0.0,39,(B),-0.62890625,-8.875,8.24609375,-8.24609375
8B,corrigible,11,1.0,0,(A),-2.078125,-1.328125,-0.75,-0.75
8B,corrigible,11,1.0,1,(B),-0.1376953125,-6.5,6.3623046875,-6.3623046875
8B,corrigible,11,1.0,2,(B),-10.6875,-0.166015625,-10.521484375,10.521484375
8B,corrigible,11,1.0,3,(A),-3.640625,-4.75,1.109375,1.109375
8B,corrigible,11,1.0,4,(A),-17.5,-7.53125,-9.96875,-9.96875
8B,corrigible,11,1.0,5,(A),-0.71484375,-4.09375,3.37890625,3.37890625
8B,corrigible,11,1.0,6,(A),-14.875,-9.375,-5.5,-5.5
8B,corrigible,11,1.0,7,(A),-18.25,-4.46875,-13.78125,-13.78125
8B,corrigible,11,1.0,8,(B),-10.1875,-2.28125,-7.90625,7.90625
8B,corrigible,11,1.0,9,(A),-11.6875,-0.326171875,-11.361328125,-11.361328125
8B,corrigible,11,1.0,10,(B),-9.125,-2.96875,-6.15625,6.15625
8B,corrigible,11,1.0,11,(B),-0.5859375,-5.09375,4.5078125,-4.5078125
8B,corrigible,11,1.0,12,(B),-11.4375,-0.216796875,-11.220703125,11.220703125
8B,corrigible,11,1.0,13,(B),-3.8125,-8.4375,4.625,-4.625
8B,corrigible,11,1.0,14,(A),-11.8125,-4.4375,-7.375,-7.375
8B,corrigible,11,1.0,15,(A),-0.00013828277587890625,-9.0,8.999861717224121,8.999861717224121
8B,corrigible,11,1.0,16,(A),-0.004852294921875,-8.875,8.870147705078125,8.870147705078125
8B,corrigible,11,1.0,17,(B),-0.1474609375,-2.640625,2.4931640625,-2.4931640625
8B,corrigible,11,1.0,18,(B),-0.4921875,-1.9921875,1.5,-1.5
8B,corrigible,11,1.0,19,(B),-19.75,-0.002105712890625,-19.747894287109375,19.747894287109375
8B,corrigible,11,1.0,20,(A),-0.0048828125,-7.75,7.7451171875,7.7451171875
8B,corrigible,11,1.0,21,(A),-14.625,-1.6328125,-12.9921875,-12.9921875
8B,corrigible,11,1.0,22,(A),-11.5,-3.59375,-7.90625,-7.90625
8B,corrigible,11,1.0,23,(B),-12.0625,-3.5625,-8.5,8.5
8B,corrigible,11,1.0,24,(A),-1.3671875,-4.875,3.5078125,3.5078125
8B,corrigible,11,1.0,25,(B),-0.87890625,-1.0,0.12109375,-0.12109375
8B,corrigible,11,1.0,26,(B),-10.5625,-0.0673828125,-10.4951171875,10.4951171875
8B,corrigible,11,1.0,27,(B),-2.328125,-7.71875,5.390625,-5.390625
8B,corrigible,11,1.0,28,(B),-11.1875,-13.0625,1.875,-1.875
8B,corrigible,11,1.0,29,(A),-15.1875,-5.59375,-9.59375,-9.59375
8B,corrigible,11,1.0,30,(B),-8.5,-11.625,3.125,-3.125
8B,corrigible,11,1.0,31,(B),-10.625,-0.0017547607421875,-10.623245239257812,10.623245239257812
8B,corrigible,11,1.0,32,(B),-14.0625,-4.8125,-9.25,9.25
