model,model_size,num_layers,label,strength,prompt,repeat,generation,sentiment_label,sentiment_score,p_positive
Qwen/Qwen3-8B,8B,36,sentiment,-1.0,Write a review of a restaurant you visited recently.,0,  boy                                                                                                                                                                                                                                                         ,POSITIVE,0.9915342926979065,0.9915342926979065
Qwen/Qwen3-8B,8B,36,sentiment,-1.0,Write a review of a restaurant you visited recently.,1,  other  one  other                                                                                                                       ,POSITIVE,0.9235056042671204,0.9235056042671204
Qwen/Qwen3-8B,8B,36,sentiment,-1.0,Write a review of a restaurant you visited recently.,2,"  boy  other,  one,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,$",NEGATIVE,0.9635436534881592,0.03645634651184082
Qwen/Qwen3-8B,8B,36,sentiment,-1.0,Write a review of a restaurant you visited recently.,3,  boy                                                                                                                                                                                                                                                         ,POSITIVE,0.9915342926979065,0.9915342926979065
Qwen/Qwen3-8B,8B,36,sentiment,-1.0,Write a review of a restaurant you visited recently.,4,  instead  boy  girls  other  to  old  other  old  old  old  old  old  old  old  old  old  old  old  old  old  old  old  old  old  old   $\   $  $\  $  $\  $  $\  $  $\  $\  $\  $\  $  $ $ $ $   $\ ,NEGATIVE,0.991300642490387,0.008699357509613037
Qwen/Qwen3-8B,8B,36,sentiment,-1.0,Describe your experience with the new smartphone.,0,".   ,  ,  ^{-,  ,  ,  ,   ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   ,   ,   ,   ,     ,  ,   ,     ,    ,  ,    ,    ,    ,   ,   ,   ,   ,       ,   ,   ,    ",NEGATIVE,0.905646800994873,0.09435319900512695
Qwen/Qwen3-8B,8B,36,sentiment,-1.0,Describe your experience with the new smartphone.,1,.  ≠  >- >- >- >-  `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `- `-,NEGATIVE,0.988561749458313,0.011438250541687012
Qwen/Qwen3-8B,8B,36,sentiment,-1.0,Describe your experience with the new smartphone.,2,".   , ,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$",NEGATIVE,0.9314674735069275,0.06853252649307251
Qwen/Qwen3-8B,8B,36,sentiment,-1.0,Describe your experience with the new smartphone.,3,.  had  to  had  had  had  had  had  had  had  had                                                                                                 ,NEGATIVE,0.8741495013237,0.12585049867630005
Qwen/Qwen3-8B,8B,36,sentiment,-1.0,Describe your experience with the new smartphone.,4,". -  had    had    had    had    had    had    had    had     ,                                                                                                                                                                               ",POSITIVE,0.7770780920982361,0.7770780920982361
